frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"87","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"88","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"89","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"90","Mar 27, 2025 02:33:18.040468000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"91","Mar 27, 2025 02:33:18.040468000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"92","Mar 27, 2025 02:33:18.040468000 India Standard Time","35.72.108.16","172.16.44.224","443","50008",,,,,
"93","Mar 27, 2025 02:33:18.040468000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
"94","Mar 27, 2025 02:33:18.040617000 India Standard Time","172.16.44.224","104.22.27.181","50002","443",,,,,
"95","Mar 27, 2025 02:33:18.041509000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"96","Mar 27, 2025 02:33:18.041509000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"97","Mar 27, 2025 02:33:18.043765000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"98","Mar 27, 2025 02:33:18.043815000 India Standard Time","172.16.44.224","35.72.108.16","50011","443",,,,,
"99","Mar 27, 2025 02:33:18.044445000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"100","Mar 27, 2025 02:33:18.044486000 India Standard Time","172.16.44.224","35.72.108.16","50010","443",,,,,
"101","Mar 27, 2025 02:33:18.045330000 India Standard Time","172.16.44.224","172.16.1.11",,,"62922","53",,,"g.alicdn.com"
"102","Mar 27, 2025 02:33:18.048218000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"103","Mar 27, 2025 02:33:18.048218000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"104","Mar 27, 2025 02:33:18.048218000 India Standard Time","104.22.27.181","172.16.44.224","443","50002",,,,,
"105","Mar 27, 2025 02:33:18.048218000 India Standard Time","35.72.108.16","172.16.44.224","443","50010",,,,,
"106","Mar 27, 2025 02:33:18.048218000 India Standard Time","35.72.108.16","172.16.44.224","443","50011",,,,,
